iter	RMSE
0	269021.9876
1	249926.6703
2	235829.9342
3	221195.9419
4	208871.0705
5	198468.0467
6	188923.7617
7	180772.9537
8	172442.948
9	165871.7461
10	159430.7108
11	154677.8148
12	150184.7982
13	146241.6456
14	141956.239
15	138500.7804
16	135763.4507
17	132566.5157
18	130291.0502
19	128524.8422
20	126054.396
21	124309.9024
22	122472.6984
23	120867.9977
24	119496.2996
25	118522.9409
26	117352.5769
27	115658.78
28	114827.1654
29	113943.6654
30	113167.7209
31	112097.9286
32	111298.1915
33	110697.1969
34	109377.6851
35	108691.2223
36	108160.5931
37	107674.2895
38	107108.2506
39	106733.8984
40	105895.883
41	105556.7769
42	105116.2705
43	104635.7555
44	104149.0372
45	103574.3541
46	103004.2556
47	102622.9175
48	102323.9336
49	101239.1539
50	100816.786
51	100595.3916
52	100415.1191
53	100188.6478
54	99822.78812
55	99588.5284
56	99171.36383
57	98785.83791
58	97965.58553
59	97737.65095
60	97573.13667
61	97396.97155
62	97177.18043
63	97031.44708
64	96768.62233
65	96564.63976
66	96292.11135
67	96163.95067
68	95892.75774
69	95586.48003
70	95323.69088
71	95083.46852
72	94785.92564
73	94019.82113
74	93428.95831
75	93008.34129
76	92888.70848
77	92404.22706
78	92301.26945
79	92097.3641
80	91914.12594
81	91578.7781
82	91263.27433
83	91043.40608
84	90884.0623
85	90643.56388
86	90174.90613
87	90066.37256
88	89820.03138
89	89526.58273
90	89214.4355
91	89075.90821
92	88752.89226
93	88644.27086
94	88241.30958
95	88194.15451
96	87848.47762
97	87331.99398
98	87064.73781
99	87028.33635
100	86560.95291
101	86494.25115
102	86233.95095
103	86092.0504
104	85663.6202
105	85572.02901
106	85245.44784
107	85101.831
108	84774.33578
109	84562.70896
110	84384.87518
111	84162.64275
112	83898.87479
113	83709.60849
114	83607.09006
115	83412.79463
116	83216.93586
117	82997.322
118	82852.33936
119	82697.21724
120	82479.73442
121	82342.91646
122	81984.23572
123	81886.42841
124	81792.36832
125	81722.82437
126	81449.34638
127	81375.46732
128	81271.64114
129	81106.23608
130	81057.28049
131	81047.33486
132	80775.03833
133	80523.43492
134	80232.3019
135	80178.783
136	79995.78387
137	79808.14161
138	79798.8259
139	79789.82672
140	79608.85279
141	79443.76585
142	79408.80955
143	79389.19979
144	79169.29442
145	79017.5974
146	79010.55939
147	78877.6042
148	78837.89658
149	78833.73071
150	78760.74448
151	78558.31036
152	78398.03803
153	78265.07755
154	78191.53668
155	78151.51983
156	77935.45334
157	77719.44403
158	77546.83877
159	77520.40069
160	77465.79246
161	77317.87177
162	77256.54471
163	77125.13217
164	77091.02294
165	77066.53172
166	77059.38468
167	77023.45867
168	76861.43198
169	76712.84156
170	76618.39254
171	76550.18521
172	76545.21289
173	76511.76355
174	76412.19083
175	76254.79241
176	76234.31583
177	76105.97025
178	75973.43927
179	75787.57049
180	75613.88351
181	75566.54534
182	75476.31919
183	75462.12508
184	75456.31897
185	75452.02486
186	75298.05954
187	75081.58045
188	74949.04345
189	74772.34914
190	74704.61405
191	74699.31579
192	74539.35989
193	74537.54436
194	74435.14844
195	74407.95704
196	74275.40742
197	74152.26002
198	74079.29684
199	74064.20652
200	73992.51598
201	73924.43306
202	73920.45859
203	73749.37117
204	73680.76839
205	73607.90528
206	73447.55505
207	73335.22228
208	73283.30279
209	73155.17668
210	73026.60997
211	72858.79652
212	72640.65173
213	72538.1184
214	72482.17951
215	72408.57484
216	72350.6348
217	72255.24465
218	72123.679
219	71934.06112
220	71851.9161
221	71746.5839
222	71640.22197
223	71566.6224
224	71477.15476
225	71436.22956
226	71276.30994
227	71175.35744
228	71114.74809
229	70963.74185
230	70928.33971
231	70865.55432
232	70720.52094
233	70629.66999
234	70532.36329
235	70449.12317
236	70353.46312
237	70302.72532
238	70177.88574
239	70049.7743
240	70017.13545
241	69939.24802
242	69913.36716
243	69778.7109
244	69674.67356
245	69640.60479
246	69599.76354
247	69456.02451
248	69366.66084
249	69225.19443
250	69118.80819
251	69096.05262
252	68999.24355
253	68924.40966
254	68768.85457
255	68765.90988
256	68690.19519
257	68572.61033
258	68501.19488
259	68390.53932
260	68332.56531
261	68247.78059
262	68243.62744
263	68162.03431
264	68087.99589
265	68087.34904
266	67978.0399
267	67975.58693
268	67878.04946
269	67876.06018
270	67855.66892
271	67815.74816
272	67812.56953
273	67810.28046
274	67768.98675
275	67608.65843
276	67522.7319
277	67353.77953
278	67266.41168
279	67137.33102
280	67117.75899
281	67112.1886
282	67089.2264
283	67071.94785
284	66915.16624
285	66911.65103
286	66873.20257
287	66729.29496
288	66599.31717
289	66470.59507
290	66316.14329
291	66175.87602
292	66078.8235
293	66005.32359
294	65886.65028
295	65835.28357
296	65713.04431
297	65597.16749
298	65516.91175
299	65364.15952
300	65295.08113
301	65293.61602
302	65223.22449
303	65155.68102
304	65051.22461
305	64873.71557
306	64871.8
307	64806.32227
308	64700.37562
309	64667.25355
310	64566.39316
311	64506.21407
