iter	Passed	Remaining
0	14	4648
1	28	4355
2	39	4029
3	50	3877
4	60	3704
5	70	3602
6	81	3564
7	92	3501
8	103	3468
9	114	3453
10	124	3420
11	135	3396
12	148	3413
13	160	3415
14	172	3421
15	184	3418
16	195	3387
17	205	3356
18	216	3331
19	224	3281
20	235	3258
21	245	3229
22	254	3194
23	262	3152
24	271	3115
25	280	3082
26	288	3047
27	297	3017
28	306	2988
29	314	2955
30	322	2919
31	329	2884
32	337	2854
33	345	2826
34	353	2796
35	361	2768
36	369	2746
37	377	2718
38	384	2692
39	392	2666
40	400	2648
41	408	2628
42	417	2610
43	425	2590
44	433	2571
45	442	2561
46	450	2541
47	459	2525
48	467	2506
49	476	2494
50	487	2492
51	497	2487
52	508	2484
53	519	2480
54	529	2476
55	542	2480
56	555	2482
57	568	2490
58	582	2496
59	592	2489
60	603	2485
61	615	2482
62	628	2485
63	640	2481
64	654	2487
65	672	2505
66	689	2522
67	703	2523
68	714	2516
69	724	2505
70	735	2495
71	745	2484
72	755	2475
73	766	2466
74	780	2466
75	792	2461
76	804	2455
77	815	2445
78	824	2433
79	835	2423
80	846	2413
81	856	2401
82	867	2392
83	877	2382
84	888	2371
85	899	2364
86	911	2356
87	922	2347
88	933	2338
89	943	2326
90	954	2317
91	965	2309
92	978	2303
93	989	2294
94	1000	2285
95	1011	2276
96	1023	2267
97	1034	2258
98	1046	2251
99	1056	2240
100	1067	2230
101	1079	2221
102	1090	2213
103	1102	2205
104	1115	2199
105	1128	2192
106	1140	2184
107	1151	2175
108	1163	2166
109	1176	2160
110	1187	2149
111	1199	2141
112	1212	2135
113	1225	2128
114	1237	2119
115	1247	2108
116	1259	2099
117	1271	2090
118	1283	2081
119	1294	2071
120	1306	2061
121	1317	2052
122	1329	2042
123	1340	2033
124	1354	2026
125	1366	2016
126	1379	2009
127	1393	2003
128	1408	1997
129	1423	1992
130	1437	1986
131	1452	1980
132	1468	1976
133	1481	1968
134	1496	1962
135	1511	1956
136	1526	1950
137	1542	1944
138	1555	1936
139	1570	1929
140	1587	1924
141	1601	1916
142	1616	1910
143	1629	1901
144	1643	1892
145	1658	1885
146	1672	1876
147	1686	1868
148	1699	1859
149	1712	1849
150	1726	1841
151	1740	1832
152	1756	1825
153	1771	1817
154	1785	1808
155	1798	1798
156	1812	1788
157	1824	1778
158	1837	1768
159	1850	1757
160	1863	1747
161	1877	1738
162	1883	1722
163	1898	1713
164	1911	1702
165	1924	1692
166	1936	1681
167	1948	1670
168	1962	1660
169	1975	1650
170	1988	1639
171	2001	1628
172	2013	1617
173	2026	1607
174	2041	1598
175	2055	1588
176	2069	1578
177	2084	1568
178	2098	1559
179	2113	1549
180	2127	1539
181	2141	1529
182	2154	1518
183	2167	1507
184	2181	1497
185	2194	1486
186	2208	1476
187	2222	1465
188	2236	1455
189	2251	1445
190	2267	1436
191	2280	1425
192	2296	1415
193	2311	1405
194	2325	1395
195	2338	1383
196	2350	1372
197	2364	1361
198	2376	1349
199	2387	1337
200	2398	1324
201	2411	1313
202	2423	1301
203	2434	1289
204	2447	1277
205	2458	1265
206	2472	1253
207	2485	1242
208	2498	1231
209	2512	1220
210	2526	1209
211	2539	1197
212	2553	1186
213	2567	1175
214	2582	1164
215	2597	1154
216	2610	1142
217	2623	1131
218	2636	1119
219	2650	1108
220	2664	1097
221	2678	1085
222	2692	1074
223	2707	1063
224	2720	1052
225	2736	1041
226	2750	1030
227	2764	1018
228	2778	1006
229	2792	995
230	2806	984
231	2819	972
232	2833	960
233	2847	949
234	2860	937
235	2886	929
236	2907	920
237	2926	910
238	2941	898
239	2953	885
240	2966	873
241	2976	861
242	2987	848
243	3004	837
244	3022	826
245	3038	815
246	3057	804
247	3074	793
248	3090	781
249	3108	770
250	3125	759
251	3141	748
252	3157	736
253	3175	725
254	3191	713
255	3206	701
256	3222	689
257	3239	677
258	3255	666
259	3271	654
260	3287	642
261	3303	630
262	3319	618
263	3336	606
264	3353	594
265	3369	582
266	3385	570
267	3401	558
268	3419	546
269	3437	534
270	3457	523
271	3477	511
272	3495	499
273	3514	487
274	3536	475
275	3556	463
276	3577	452
277	3608	441
278	3633	429
279	3658	418
280	3684	406
281	3711	394
282	3740	383
283	3780	372
284	3822	362
285	3875	352
286	3950	344
287	3974	331
288	3995	317
289	4073	309
290	4112	296
291	4132	283
292	4180	271
293	4244	259
294	4278	246
295	4302	232
296	4323	218
297	4414	207
298	4455	193
299	4569	182
300	4600	168
301	4702	155
302	4732	140
303	4755	125
304	4775	109
305	4870	95
306	4902	79
307	4926	63
308	4945	48
309	4983	32
310	5057	16
311	5080	0
